iter	RecallAt:top=10
0	0.07429611847
5	0.08005450193
10	0.08336151543
15	0.08654478407
20	0.08846745859
25	0.09092921366
30	0.09241883194
35	0.09259429403
40	0.09517112499
45	0.09709983769
50	0.09791250632
55	0.09793432801
60	0.09931926565
65	0.1002114472
70	0.101091774
75	0.1010666056
80	0.1010969905
85	0.1011805963
90	0.1012695894
95	0.1013336377
100	0.10169884
105	0.102166762
110	0.1022406288
115	0.1024723002
120	0.1032169599
125	0.1041545528
130	0.1047803779
135	0.1048497451
140	0.1049201596
145	0.1049509374
150	0.1050417219
155	0.1050557784
160	0.1050914298
165	0.1051050539
170	0.1051169742
175	0.1051573998
180	0.1052722535
185	0.1052872915
190	0.1052999511
195	0.1053103434
200	0.1053409717
205	0.1053518002
210	0.1053655227
215	0.1053728417
220	0.1053748281
225	0.105398477
230	0.1054154727
235	0.1054587135
240	0.1054889716
245	0.1054994058
250	0.1055171302
255	0.1055514441
260	0.1055545885
265	0.1055610401
270	0.1055736621
275	0.1055951114
280	0.1056055277
285	0.1056076159
290	0.1056226042
295	0.1056223564
300	0.1056325254
305	0.1056383276
310	0.1056453499
315	0.1056515253
320	0.1056572637
325	0.1056606298
330	0.1056704643
335	0.1056683492
340	0.1056845125
345	0.1056916386
350	0.1056963897
355	0.1056983601
360	0.1057120051
365	0.1057117815
370	0.1057157578
375	0.105721502
380	0.1057373092
385	0.1057553612
390	0.1057676783
395	0.1057770672
400	0.1057999652
405	0.1058143921
410	0.1058400796
415	0.1058422094
420	0.1058538743
425	0.1058635649
430	0.1058696753
435	0.1058795175
440	0.1058844021
445	0.1058925985
450	0.1059043548
455	0.1059152142
460	0.1059246293
465	0.1059347662
470	0.1059474689
475	0.1059514513
480	0.1059642807
485	0.1059921526
490	0.1060172766
495	0.1060403741
500	0.1060618223
505	0.1060884132
510	0.1060979488
515	0.1061099763
520	0.1061302003
525	0.106138896
530	0.1061528971
535	0.1061669537
540	0.1061767379
545	0.1061879444
550	0.1062000322
555	0.1062051061
560	0.1062150057
565	0.106226339
570	0.1062405394
575	0.1062449046
580	0.1062521618
585	0.1062632156
590	0.1062766492
595	0.1062767777
600	0.1062867071
605	0.106290958
610	0.1062985819
615	0.1062995651
620	0.1063046641
625	0.1063104637
630	0.1063157287
635	0.1063196094
640	0.1063207013
645	0.1063270457
650	0.1063300174
655	0.1063311005
660	0.1063342195
665	0.1063352702
670	0.1063353939
675	0.1063377118
680	0.1063356835
685	0.1063433679
690	0.106345576
695	0.1063482506
700	0.1063512304
705	0.106352653
710	0.1063525381
715	0.1063556875
720	0.1063584947
725	0.1063541636
730	0.1063569178
735	0.1063590456
740	0.1063641636
745	0.1063665324
750	0.1063708138
755	0.1063701188
760	0.1063701293
765	0.1063687332
770	0.1063672938
775	0.1063678585
780	0.1063708107
785	0.1063713949
790	0.1063718524
795	0.1063698694
800	0.106373823
805	0.1063747268
810	0.1063755029
815	0.1063752912
820	0.1063753619
825	0.10637795
830	0.1063786484
835	0.1063803031
840	0.1063830946
845	0.106383657
850	0.1063891893
855	0.1063897861
860	0.1063905644
865	0.1063899643
870	0.1063889038
875	0.106389984
880	0.1063928048
885	0.1063938523
890	0.1063963048
895	0.10639964
900	0.106401788
905	0.1064019019
910	0.1064020235
915	0.1064040413
920	0.106405316
925	0.1064054966
930	0.1064070922
935	0.1064081034
940	0.1064101554
945	0.1064115881
950	0.106411362
955	0.1064128539
960	0.1064119819
965	0.1064129116
970	0.1064137547
975	0.1064164648
980	0.1064179638
985	0.1064171617
990	0.1064174486
995	0.1064193238
999	0.1064203463
