iter	Passed	Remaining
0	263	263413
1	360	179737
2	456	151756
3	552	137679
4	649	129199
5	832	137894
6	928	131737
7	1026	127243
8	1122	123627
9	1219	120697
10	1401	125963
11	1497	123290
12	1594	121086
13	1692	119167
14	1788	117466
15	1953	120152
16	2050	118547
17	2146	117125
18	2243	115833
19	2340	114669
20	2523	117634
21	2619	116460
22	2716	115380
23	2812	114392
24	2909	113473
25	3084	115539
26	3181	114640
27	3278	113803
28	3374	113003
29	3471	112254
30	3654	114235
31	3751	113475
32	3847	112757
33	3944	112074
34	4041	111419
35	4206	112628
36	4302	111986
37	4399	111379
38	4496	110797
39	4593	110236
40	4775	111706
41	4872	111138
42	4969	110609
43	5066	110090
44	5164	109592
45	5363	111224
46	5459	110706
47	5557	110232
48	5656	109780
49	5754	109327
50	5940	110537
51	6037	110066
52	6136	109641
53	6233	109196
54	6330	108762
55	6494	109482
56	6591	109050
57	6688	108636
58	6786	108233
59	6883	107837
60	7067	108800
61	7164	108393
62	7262	108021
63	7359	107638
64	7457	107266
65	7620	107846
66	7717	107468
67	7814	107110
68	7911	106751
69	8008	106401
70	8189	107159
71	8286	106801
72	8383	106456
73	8480	106117
74	8577	105788
75	8740	106270
76	8837	105940
77	8935	105617
78	9032	105300
79	9129	104992
80	9322	105764
81	9418	105444
82	9515	105133
83	9613	104828
84	9710	104527
85	9874	104947
86	9971	104646
87	10068	104350
88	10166	104064
89	10263	103780
90	10446	104352
91	10544	104065
92	10664	104006
93	10761	103723
94	10858	103445
95	11024	103810
96	11121	103532
97	11218	103255
98	11315	102984
99	11412	102716
100	11596	103216
101	11693	102944
102	11790	102678
103	11887	102415
104	11984	102156
105	12152	102493
106	12248	102227
107	12346	101971
108	12443	101716
109	12540	101464
110	12725	101915
111	12822	101660
112	12919	101409
113	13016	101160
114	13113	100913
115	13280	101203
116	13377	100958
117	13475	100720
118	13572	100480
119	13669	100241
120	13851	100622
121	13948	100382
122	14045	100146
123	14142	99911
124	14239	99678
125	14405	99923
126	14502	99688
127	14599	99460
128	14696	99232
129	14794	99006
130	15012	99584
131	15134	99521
132	15236	99324
133	15333	99098
134	15430	98870
135	15623	99253
136	15720	99024
137	15817	98800
138	15913	98574
139	16010	98349
140	16178	98560
141	16274	98334
142	16371	98116
143	16468	97898
144	16565	97680
145	16748	97964
146	16844	97744
147	16941	97528
148	17038	97312
149	17134	97097
150	17300	97270
151	17397	97057
152	17493	96844
153	17590	96634
154	17687	96426
155	17870	96685
156	17967	96475
157	18064	96266
158	18162	96067
159	18259	95862
160	18424	96012
161	18521	95806
162	18617	95601
163	18714	95397
164	18811	95196
165	18994	95428
166	19091	95227
167	19187	95024
168	19287	94840
169	19384	94641
170	19549	94776
171	19646	94576
172	19743	94380
173	19840	94184
174	19937	93989
175	20119	94197
176	20216	94001
177	20312	93804
178	20409	93611
179	20506	93419
180	20671	93535
181	20767	93341
182	20864	93150
183	20961	92958
184	21058	92769
185	21240	92954
186	21336	92761
187	21433	92573
188	21530	92386
189	21626	92198
190	21790	92296
191	21887	92108
192	21984	91924
193	22081	91738
194	22179	91563
195	22362	91730
196	22459	91547
197	22557	91370
198	22656	91195
199	22752	91011
200	22917	91100
201	23014	90918
202	23110	90734
203	23207	90553
204	23303	90373
205	23486	90524
206	23583	90344
207	23679	90165
208	23776	89986
209	23873	89809
210	24037	89883
211	24133	89705
212	24230	89527
213	24328	89357
214	24425	89181
215	24617	89351
216	24714	89175
217	24810	88999
218	24907	88823
219	25003	88650
220	25167	88711
221	25276	88581
222	25373	88408
223	25470	88235
224	25566	88063
225	25749	88185
226	25845	88011
227	25942	87840
228	26039	87669
229	26135	87498
230	26301	87559
231	26398	87387
232	26495	87217
233	26591	87048
234	26688	86878
235	26869	86984
236	26966	86815
237	27063	86647
238	27159	86479
239	27256	86313
240	27420	86357
241	27516	86189
242	27613	86022
243	27710	85855
244	27806	85689
245	27988	85784
246	28084	85617
247	28181	85453
248	28278	85290
249	28375	85126
250	28539	85163
251	28635	84998
252	28732	84834
253	28829	84671
254	28925	84508
255	29107	84593
256	29203	84429
257	29300	84266
258	29399	84112
259	29496	83952
260	29661	83983
261	29758	83822
262	29854	83660
263	29950	83499
264	30047	83338
265	30228	83413
266	30325	83251
267	30421	83091
268	30517	82931
269	30614	82771
270	30777	82792
271	30874	82633
272	30970	82474
273	31067	82316
274	31163	82158
275	31345	82225
276	31442	82067
277	31538	81909
278	31635	81752
279	31732	81597
280	31895	81612
281	31992	81455
282	32089	81299
283	32186	81145
284	32282	80988
285	32471	81064
286	32568	80910
287	32665	80756
288	32764	80607
289	32861	80453
290	33024	80462
291	33120	80306
292	33217	80151
293	33313	79998
294	33410	79845
295	33591	79893
296	33688	79739
297	33784	79586
298	33881	79433
299	33977	79281
300	34141	79284
301	34237	79131
302	34334	78981
303	34431	78830
304	34528	78678
305	34711	78724
306	34807	78572
307	34904	78421
308	35001	78271
309	35098	78121
310	35279	78159
311	35375	78008
312	35471	77857
313	35568	77705
314	35664	77555
315	35845	77589
316	35942	77440
317	36038	77290
318	36134	77140
319	36231	76990
320	36399	76994
321	36495	76845
322	36592	76696
323	36689	76549
324	36786	76401
325	36967	76430
326	37063	76281
327	37160	76133
328	37256	75985
329	37352	75837
330	37516	75826
331	37612	75677
332	37708	75530
333	37804	75382
334	37901	75237
335	38083	75259
336	38179	75111
337	38275	74965
338	38372	74819
339	38468	74674
340	38632	74659
341	38728	74512
342	38824	74367
343	38921	74222
344	39018	74077
345	39198	74092
346	39295	73947
347	39391	73802
348	39488	73658
349	39588	73520
350	39755	73507
351	39852	73364
352	39948	73219
353	40044	73075
354	40141	72932
355	40322	72943
356	40418	72798
357	40514	72655
358	40611	72512
359	40707	72369
360	40870	72344
361	40966	72201
362	41062	72057
363	41158	71913
364	41254	71770
365	41436	71777
366	41533	71636
